3690,hsa-miR-99b-5p
60852,hsa-miR-19a-3p
6857599,hsa-miR-146a-5p
31703,hsa-miR-500a-5p
60750,hsa-miR-4723-5p
135403648,hsa-miR-423-3p
3385,hsa-miR-4796-3p
60750,hsa-miR-301b-3p
36314,hsa-miR-376b-3p
31703,hsa-miR-630
712,hsa-miR-19b-3p
3385,hsa-miR-4804-5p
148124,hsa-miR-339-5p
123631,hsa-miR-100-5p
3385,hsa-miR-137-3p
3386,hsa-miR-27b-3p
176870,hsa-miR-628-3p
5757,hsa-miR-524-5p
5329102,hsa-miR-564
6623,hsa-miR-335-5p
5994,hsa-miR-454-5p
2733526,hsa-miR-891a-5p
31703,hsa-miR-802
444795,hsa-miR-363-5p
10621,hsa-miR-370-3p
2767,hsa-miR-93-5p
5291,hsa-miR-193b-3p
36314,hsa-miR-135a-5p
60750,hsa-miR-142-5p
31703,hsa-miR-891b
5978,hsa-miR-23a-3p
1130,hsa-miR-155-5p
38904,hsa-miR-634
5291,hsa-miR-15b-5p
3385,hsa-miR-3154
5310940,hsa-miR-616-3p
5793,hsa-miR-135a-5p
60750,hsa-miR-4711-3p
31703,hsa-miR-302a-3p
31703,hsa-miR-218-5p
3385,hsa-let-7b-5p
2767,hsa-miR-296-5p
3385,hsa-miR-4689
5329102,hsa-miR-30a-5p
3229,hsa-let-7i-5p
14888,hsa-miR-16-5p
36462,hsa-miR-519b-3p
444732,hsa-miR-191-3p
2520,hsa-miR-10b-5p
135403648,hsa-miR-652-3p
36462,hsa-miR-24-3p
176870,hsa-miR-200c-3p
5757,hsa-miR-524-3p
5291,hsa-miR-30c-5p
2520,hsa-miR-181c-5p
162282,hsa-miR-16-5p
24360,hsa-miR-107
3385,hsa-miR-203a-3p
444732,hsa-miR-1-3p
5755,hsa-miR-625-5p
2767,hsa-miR-10a-5p
5310940,hsa-miR-499a-5p
3385,hsa-miR-140-5p
60750,hsa-miR-3682-3p
6057,hsa-miR-30b-5p
444732,hsa-miR-143-3p
31703,hsa-miR-382-5p
2767,hsa-miR-423-5p
60750,hsa-miR-4655-5p
5329102,hsa-miR-582-5p
9804992,hsa-miR-19b-3p
387447,hsa-miR-1202
5793,hsa-miR-891a-5p
126941,hsa-miR-193b-3p
712,hsa-miR-16-5p
5394,hsa-miR-455-5p
5311,hsa-miR-302a-3p
5793,hsa-miR-219a-1-3p
638278,hsa-miR-25-3p
5757,hsa-miR-520d-3p
5538,hsa-miR-200c-3p
23725625,hsa-miR-96-5p
712,hsa-miR-106a-5p
712,hsa-miR-18a-5p
6857599,hsa-miR-30e-5p
5329102,hsa-miR-29c-3p
31703,hsa-miR-520b-3p
31703,hsa-miR-491-5p
445858,hsa-miR-574-3p
41867,hsa-let-7b-5p
91820602,hsa-miR-378a-3p
5311,hsa-miR-595
2520,hsa-miR-519b-3p
47725,hsa-miR-128-3p
36314,hsa-miR-3167
36314,hsa-miR-2277-3p
3385,hsa-miR-519a-3p
104741,hsa-miR-196a-5p
969516,hsa-miR-510-5p
3385,hsa-miR-1249-3p
148124,hsa-miR-371a-3p
60750,hsa-miR-602
60823,hsa-miR-1827
2520,hsa-miR-517c-3p
5394,hsa-miR-221-3p
2767,hsa-miR-1307-3p
3229,hsa-miR-30a-5p
91820602,hsa-miR-345-5p
31703,hsa-miR-568
3385,hsa-miR-500b-5p
119307,hsa-miR-151a-3p
60750,hsa-miR-223-3p
5310940,hsa-miR-128-3p
5978,hsa-miR-15a-5p
5746,hsa-miR-4311
36462,hsa-miR-298
31703,hsa-miR-520c-3p
969516,hsa-miR-34c-5p
122724,hsa-miR-200b-3p
712,hsa-miR-23b-3p
2767,hsa-miR-103a-3p
30323,hsa-miR-125b-5p
24180719,hsa-miR-27b-3p
3385,hsa-miR-130a-5p
3385,hsa-miR-19b-3p
216326,hsa-miR-145-5p
2767,hsa-miR-3125
387447,hsa-miR-1246
3902,hsa-miR-128-3p
3385,hsa-miR-3163
216239,hsa-miR-222-3p
5291,hsa-miR-107
31703,hsa-miR-1269a
5311,hsa-miR-9-3p
60750,hsa-miR-4465
712,hsa-miR-323a-5p
5746,hsa-miR-146a-5p
60750,hsa-miR-412-3p
2767,hsa-miR-645
31703,hsa-miR-577
2733526,hsa-miR-21-5p
3385,hsa-miR-379-5p
3657,hsa-miR-27a-3p
5978,hsa-miR-33a-5p
3385,hsa-miR-338-3p
36314,hsa-miR-132-3p
3385,hsa-let-7e-5p
119307,hsa-miR-328-3p
444795,hsa-let-7a-5p
31703,hsa-miR-370-3p
5280961,hsa-miR-1260b
451668,hsa-miR-23b-3p
3385,hsa-miR-4783-3p
3220,hsa-miR-10b-3p
91820602,hsa-miR-99b-5p
216239,hsa-miR-668-3p
2520,hsa-miR-132-3p
108065,hsa-miR-17-5p
2733526,hsa-miR-181d-5p
108065,hsa-miR-30c-1-3p
5978,hsa-miR-455-5p
3229,hsa-miR-101-3p
3385,hsa-miR-301a-3p
5978,hsa-miR-383-5p
21633059,hsa-miR-372-3p
2995,hsa-miR-18a-5p
31703,hsa-let-7e-5p
10635,hsa-miR-222-3p
31703,hsa-miR-485-5p
442972,hsa-miR-10a-5p
5310940,hsa-miR-150-5p
216239,hsa-miR-663a
5310940,hsa-miR-1292-5p
31703,hsa-miR-484
2520,hsa-miR-662
2767,hsa-miR-144-3p
5280795,hsa-miR-19a-3p
9700,hsa-let-7e-5p
24978538,hsa-miR-661
3385,hsa-miR-3620-3p
3385,hsa-miR-141-3p
2520,hsa-miR-19b-1-5p
91820602,hsa-miR-595
5793,hsa-miR-596
6857599,hsa-miR-30a-5p
123631,hsa-miR-181b-3p
451668,hsa-miR-129-5p
216326,hsa-miR-449a
60750,hsa-miR-33a-5p
60750,hsa-miR-18b-5p
5311,hsa-miR-760
60750,hsa-miR-4800-3p
2767,hsa-miR-143-3p
2733526,hsa-miR-181a-3p
5978,hsa-miR-27a-3p
5311,hsa-miR-132-3p
123865,hsa-miR-143-3p
5310940,hsa-miR-634
148124,hsa-miR-30d-5p
2767,hsa-miR-1297
5743,hsa-miR-23a-3p
3385,hsa-miR-339-5p
2767,hsa-miR-520g-3p
3385,hsa-miR-3167
122724,hsa-miR-217-5p
3385,hsa-miR-181d-5p
3385,hsa-miR-3064-5p
702,hsa-miR-183-3p
104746,hsa-miR-125b-5p
712,hsa-let-7f-5p
60953,hsa-miR-125b-5p
5329102,hsa-miR-501-5p
60780,hsa-miR-515-5p
3385,hsa-miR-371a-3p
5310940,hsa-miR-361-5p
31703,hsa-miR-4448
2767,hsa-miR-188-5p
9826528,hsa-miR-200b-3p
3385,hsa-miR-3192-5p
2767,hsa-miR-455-3p
6442177,hsa-miR-100-5p
91820602,hsa-miR-7-5p
3385,hsa-miR-224-5p
60750,hsa-miR-1237-3p
5743,hsa-miR-323a-3p
5793,hsa-miR-139-3p
60750,hsa-miR-214-3p
444732,hsa-miR-607
5310940,hsa-miR-15a-5p
2767,hsa-miR-548d-5p
148124,hsa-miR-135a-5p
123631,hsa-miR-155-5p
712,hsa-miR-23a-3p
31703,hsa-miR-590-5p
3385,hsa-miR-520a-3p
123631,hsa-miR-660-5p
5311,hsa-miR-30e-3p
38904,hsa-miR-186-5p
31703,hsa-miR-331-3p
5757,hsa-miR-107
31703,hsa-miR-4488
43815,hsa-miR-30b-5p
445858,hsa-miR-323a-5p
135403648,hsa-miR-26b-5p
60838,hsa-miR-143-3p
122634,hsa-miR-146a-5p
3385,hsa-miR-1273c
5329102,hsa-miR-145-5p
31703,hsa-miR-122-5p
2733,hsa-miR-223-3p
5352624,hsa-miR-9-5p
3385,hsa-miR-618
5793,hsa-miR-654-3p
24180719,hsa-miR-760
31703,hsa-miR-449a
444732,hsa-miR-215-5p
5291,hsa-miR-96-5p
712,hsa-miR-182-5p
444732,hsa-miR-519c-5p
60780,hsa-miR-519a-3p
2767,hsa-let-7f-5p
5288826,hsa-miR-423-5p
31703,hsa-miR-152-3p
5310940,hsa-miR-1207-5p
